uniqueid,_timestamp,source,no_persons,valid_from,valid_to,is_forecast,confidence_lower,confidence_upper,nuts_code
1304,2019-09-16,humdata_exercise,8534,2019-09-16,2020-12-31,False,,,HR
1437,2019-09-17,humdata_exercise,8243,2019-09-17,2020-12-31,False,,,AT
1225,2019-09-25,humdata_exercise,9305,2019-09-25,2020-12-31,False,,,MK
1256,2019-09-12,humdata_exercise,5415,2019-09-12,2020-12-31,False,,,RS
1337,2019-09-05,humdata_exercise,39,2019-09-05,2020-12-31,False,,,HU
1385,2019-09-09,humdata_exercise,9818,2019-09-09,2020-12-31,False,,,SI
1132,2019-09-20,humdata_exercise,526,2019-09-20,2020-12-31,False,,,IT
1524,2019-09-29,sarimax_forecast,6751,2019-09-29,2019-10-03,True,3114,10389,AT
1166,2019-09-10,humdata_exercise,5049,2019-09-10,2020-12-31,False,,,EL
1273,2019-08-16,humdata_exercise,4344,2019-08-16,2020-12-31,False,,,HR
1347,2019-09-15,humdata_exercise,10,2019-09-15,2020-12-31,False,,,HU
1395,2019-09-19,humdata_exercise,7693,2019-09-19,2020-12-31,False,,,SI
1447,2019-09-27,humdata_exercise,8777,2019-09-27,2020-12-31,False,,,AT
1247,2019-09-03,humdata_exercise,4850,2019-09-03,2020-12-31,False,,,RS
1327,2019-08-26,humdata_exercise,7897,2019-08-26,2020-12-31,False,,,HU
1156,2019-08-31,humdata_exercise,8564,2019-08-31,2020-12-31,False,,,EL
1189,2019-08-20,humdata_exercise,4282,2019-08-20,2020-12-31,False,,,MK
1246,2019-09-02,humdata_exercise,10150,2019-09-02,2020-12-31,False,,,RS
1245,2019-09-01,humdata_exercise,5250,2019-09-01,2020-12-31,False,,,RS
1350,2019-09-18,humdata_exercise,8,2019-09-18,2020-12-31,False,,,HU
1277,2019-08-20,humdata_exercise,6338,2019-08-20,2020-12-31,False,,,HR
1345,2019-09-13,humdata_exercise,23,2019-09-13,2020-12-31,False,,,HU
1330,2019-08-29,humdata_exercise,5157,2019-08-29,2020-12-31,False,,,HU
1200,2019-08-31,humdata_exercise,6181,2019-08-31,2020-12-31,False,,,MK
1303,2019-09-15,humdata_exercise,7110,2019-09-15,2020-12-31,False,,,HR
1561,2019-09-29,distance_simulation,1424,2019-09-29,2019-10-01,True,,,AT21
1405,2019-08-16,humdata_exercise,4550,2019-08-16,2020-12-31,False,,,AT
1257,2019-09-13,humdata_exercise,6700,2019-09-13,2020-12-31,False,,,RS
1215,2019-09-15,humdata_exercise,7590,2019-09-15,2020-12-31,False,,,MK
1181,2019-09-25,humdata_exercise,4842,2019-09-25,2020-12-31,False,,,EL
1109,2019-08-28,humdata_exercise,0,2019-08-28,2020-12-31,False,,,IT
1325,2019-08-24,humdata_exercise,7215,2019-08-24,2020-12-31,False,,,HU
1147,2019-08-22,humdata_exercise,3734,2019-08-22,2020-12-31,False,,,EL
1423,2019-09-03,humdata_exercise,4300,2019-09-03,2020-12-31,False,,,AT
1299,2019-09-11,humdata_exercise,5683,2019-09-11,2020-12-31,False,,,HR
1249,2019-09-05,humdata_exercise,6850,2019-09-05,2020-12-31,False,,,RS
1102,2019-08-21,humdata_exercise,2001,2019-08-21,2020-12-31,False,,,IT
1415,2019-08-26,humdata_exercise,8540,2019-08-26,2020-12-31,False,,,AT
1427,2019-09-07,humdata_exercise,4092,2019-09-07,2020-12-31,False,,,AT
1137,2019-09-25,humdata_exercise,0,2019-09-25,2020-12-31,False,,,IT
1357,2019-09-25,humdata_exercise,14,2019-09-25,2020-12-31,False,,,HU
1519,2019-09-29,sarimax_forecast,7925,2019-09-29,2019-10-03,True,3975,11876,SI
1150,2019-08-25,humdata_exercise,4045,2019-08-25,2020-12-31,False,,,EL
1202,2019-09-02,humdata_exercise,10005,2019-09-02,2020-12-31,False,,,MK
1142,2019-08-17,humdata_exercise,4055,2019-08-17,2020-12-31,False,,,EL
1434,2019-09-14,humdata_exercise,8302,2019-09-14,2020-12-31,False,,,AT
1393,2019-09-17,humdata_exercise,8568,2019-09-17,2020-12-31,False,,,SI
1269,2019-09-25,humdata_exercise,9107,2019-09-25,2020-12-31,False,,,RS
1371,2019-08-26,humdata_exercise,0,2019-08-26,2020-12-31,False,,,SI
1148,2019-08-23,humdata_exercise,4295,2019-08-23,2020-12-31,False,,,EL
1377,2019-09-01,humdata_exercise,3000,2019-09-01,2020-12-31,False,,,SI
1250,2019-09-06,humdata_exercise,8750,2019-09-06,2020-12-31,False,,,RS
1212,2019-09-12,humdata_exercise,5000,2019-09-12,2020-12-31,False,,,MK
1131,2019-09-19,humdata_exercise,0,2019-09-19,2020-12-31,False,,,IT
1219,2019-09-19,humdata_exercise,6532,2019-09-19,2020-12-31,False,,,MK
1188,2019-08-19,humdata_exercise,5181,2019-08-19,2020-12-31,False,,,MK
1160,2019-09-04,humdata_exercise,10006,2019-09-04,2020-12-31,False,,,EL
1288,2019-08-31,humdata_exercise,5260,2019-08-31,2020-12-31,False,,,HR
1430,2019-09-10,humdata_exercise,10784,2019-09-10,2020-12-31,False,,,AT
1178,2019-09-22,humdata_exercise,6022,2019-09-22,2020-12-31,False,,,EL
1537,2019-09-29,distance_simulation,0,2019-09-29,2019-10-01,True,,,DE11
1428,2019-09-08,humdata_exercise,5841,2019-09-08,2020-12-31,False,,,AT
1362,2019-08-17,humdata_exercise,0,2019-08-17,2020-12-31,False,,,SI
1310,2019-09-22,humdata_exercise,2000,2019-09-22,2020-12-31,False,,,HR
1143,2019-08-18,humdata_exercise,6097,2019-08-18,2020-12-31,False,,,EL
1284,2019-08-27,humdata_exercise,7317,2019-08-27,2020-12-31,False,,,HR
1243,2019-08-30,humdata_exercise,5850,2019-08-30,2020-12-31,False,,,RS
1339,2019-09-07,humdata_exercise,29,2019-09-07,2020-12-31,False,,,HU
1193,2019-08-24,humdata_exercise,6107,2019-08-24,2020-12-31,False,,,MK
1294,2019-09-06,humdata_exercise,6748,2019-09-06,2020-12-31,False,,,HR
1220,2019-09-20,humdata_exercise,960,2019-09-20,2020-12-31,False,,,MK
1223,2019-09-23,humdata_exercise,9148,2019-09-23,2020-12-31,False,,,MK
1207,2019-09-07,humdata_exercise,9840,2019-09-07,2020-12-31,False,,,MK
1436,2019-09-16,humdata_exercise,7887,2019-09-16,2020-12-31,False,,,AT
1124,2019-09-12,humdata_exercise,218,2019-09-12,2020-12-31,False,,,IT
1204,2019-09-04,humdata_exercise,4584,2019-09-04,2020-12-31,False,,,MK
1494,2019-09-29,sarimax_forecast,5055,2019-09-29,2019-10-03,True,2360,7749,EL
1361,2019-08-16,humdata_exercise,0,2019-08-16,2020-12-31,False,,,SI
1441,2019-09-21,humdata_exercise,7315,2019-09-21,2020-12-31,False,,,AT
1228,2019-09-28,humdata_exercise,6826,2019-09-28,2020-12-31,False,,,MK
1281,2019-08-24,humdata_exercise,8201,2019-08-24,2020-12-31,False,,,HR
1293,2019-09-05,humdata_exercise,7900,2019-09-05,2020-12-31,False,,,HR
1278,2019-08-21,humdata_exercise,6370,2019-08-21,2020-12-31,False,,,HR
1164,2019-09-08,humdata_exercise,5354,2019-09-08,2020-12-31,False,,,EL
1161,2019-09-05,humdata_exercise,9444,2019-09-05,2020-12-31,False,,,EL
1209,2019-09-09,humdata_exercise,7864,2019-09-09,2020-12-31,False,,,MK
1136,2019-09-24,humdata_exercise,6,2019-09-24,2020-12-31,False,,,IT
1106,2019-08-25,humdata_exercise,134,2019-08-25,2020-12-31,False,,,IT
1128,2019-09-16,humdata_exercise,0,2019-09-16,2020-12-31,False,,,IT
1445,2019-09-25,humdata_exercise,6933,2019-09-25,2020-12-31,False,,,AT
1389,2019-09-13,humdata_exercise,5341,2019-09-13,2020-12-31,False,,,SI
1311,2019-09-23,humdata_exercise,6579,2019-09-23,2020-12-31,False,,,HR
1585,2019-09-29,distance_simulation,1195,2019-09-29,2019-10-01,True,,,DE22
1292,2019-09-04,humdata_exercise,6793,2019-09-04,2020-12-31,False,,,HR
1187,2019-08-18,humdata_exercise,4202,2019-08-18,2020-12-31,False,,,MK
1264,2019-09-20,humdata_exercise,1652,2019-09-20,2020-12-31,False,,,RS
1408,2019-08-19,humdata_exercise,5800,2019-08-19,2020-12-31,False,,,AT
1151,2019-08-26,humdata_exercise,4034,2019-08-26,2020-12-31,False,,,EL
1410,2019-08-21,humdata_exercise,5800,2019-08-21,2020-12-31,False,,,AT
1412,2019-08-23,humdata_exercise,4229,2019-08-23,2020-12-31,False,,,AT
1386,2019-09-10,humdata_exercise,8625,2019-09-10,2020-12-31,False,,,SI
1173,2019-09-17,humdata_exercise,3290,2019-09-17,2020-12-31,False,,,EL
1208,2019-09-08,humdata_exercise,7752,2019-09-08,2020-12-31,False,,,MK
1353,2019-09-21,humdata_exercise,4,2019-09-21,2020-12-31,False,,,HU
